Iref,iL
6.400000000000000133e-01,5.490456867109665406e-01
6.400000000000000133e-01,5.490456867109679839e-01
6.400000000000000133e-01,5.490456867109665406e-01
6.400000000000000133e-01,5.490456867109679839e-01
6.400000000000000133e-01,5.490456867109665406e-01
6.400000000000000133e-01,5.490456867109679839e-01
6.400000000000000133e-01,5.490456867109665406e-01
6.400000000000000133e-01,5.490456867109679839e-01
6.400000000000000133e-01,5.490456867109665406e-01
6.400000000000000133e-01,5.490456867109679839e-01
6.400000000000000133e-01,5.490456867109665406e-01
6.400000000000000133e-01,5.490456867109679839e-01
6.400000000000000133e-01,5.490456867109665406e-01
6.400000000000000133e-01,5.490456867109679839e-01
6.400000000000000133e-01,5.490456867109665406e-01
6.400000000000000133e-01,5.490456867109679839e-01
6.400000000000000133e-01,5.490456867109665406e-01
6.400000000000000133e-01,5.490456867109679839e-01
6.400000000000000133e-01,5.490456867109665406e-01
6.400000000000000133e-01,5.490456867109679839e-01
6.400000000000000133e-01,5.490456867109665406e-01
6.400000000000000133e-01,5.490456867109679839e-01
6.400000000000000133e-01,5.490456867109665406e-01
6.400000000000000133e-01,5.490456867109679839e-01
6.400000000000000133e-01,5.490456867109665406e-01
6.400000000000000133e-01,5.490456867109679839e-01
6.400000000000000133e-01,5.490456867109665406e-01
6.400000000000000133e-01,5.490456867109679839e-01
6.400000000000000133e-01,5.490456867109665406e-01
6.400000000000000133e-01,5.490456867109679839e-01
6.400000000000000133e-01,5.490456867109665406e-01
